,City,Cloudiness,Country,Date,Humidity,lat,Lng,max_temp,Wind Speed
213,wanganui,20,MU,1587837763,94,-20.41,57.7,77,3.36
214,diffa,20,CY,1587837765,82,35.04,33.98,62.6,3.36
215,naze,47,CN,1587837766,50,38.51,115,51.8,2.24
216,amberley,88,GN,1587837767,39,10.37,-13.35,91.06,1.43
217,chokurdakh,92,UZ,1587837769,68,40.43,71.72,64.4,2.24
218,lorengau,1,US,1587837770,54,30.22,-90.9,84.99,1.01
219,nipawin,99,RU,1587837771,95,62.85,34.83,31.95,7.7
220,barentsburg,75,CA,1587837772,93,47.67,-52.73,37.99,19.46
221,egvekinot,100,AU,1587837774,87,-38.27,141.97,59.59,18.61
222,terney,77,KE,1587837775,42,3.12,35.6,85.42,8.97
223,college,1,RU,1587837777,55,52.35,115.52,31.33,0.63
224,nedjo,75,AR,1587837572,93,-45.87,-67.5,48.2,16.98
225,hot springs,8,MZ,1587837780,83,-16.23,39.91,75.72,8.41
226,cherskiy,9,NE,1587837781,8,19.75,10.25,96.39,11.07
227,dunedin,93,ES,1587837783,74,37.47,-4.44,59,3
228,gambela,85,PH,1587837784,88,20.45,121.97,78.12,14.58
229,upata,94,VU,1587837786,85,-15.53,167.17,76.46,9.37
230,port-gentil,75,US,1587837787,62,40.13,-75.87,64,4.7
231,najran,97,NZ,1587837789,67,-45.42,167.72,45.36,5.44
232,mahebourg,8,TD,1587837790,8,11.03,20.28,91.38,4.99
233,paralimni,40,US,1587837792,42,44.08,-93.23,66,5.82
234,samusu,18,AU,1587837793,72,-23.13,150.73,68,6.93
235,dingzhou,100,AU,1587837765,100,-33.03,137.58,62.6,3.36
236,tondon,100,GL,1587837796,51,66.94,-53.67,48.15,11.23
237,komsomolskiy,38,JP,1587837797,74,34.67,138.95,57.99,1.99
238,ascension,98,BR,1587837798,82,-2.92,-39.92,82.33,5.19
239,povenets,8,NZ,1587837799,84,-35.17,173.17,60.3,9.6
240,torbay,87,RU,1587837801,95,63.86,57.31,25.95,8.23
241,codrington,45,PE,1587837802,27,-8.15,-78.18,61.29,4.79
242,lodwar,75,CA,1587837803,87,50.7,-127.42,50,6.93
243,palabuhanratu,75,GL,1587837805,60,69.22,-51.1,39.2,8.05
244,vershino-darasunskiy,14,LY,1587837806,30,29.03,21.55,72.77,6.89
245,comodoro rivadavia,75,IN,1587837808,88,20.35,85.18,78.8,3.89
246,angoche,0,CN,1587837809,18,41.76,86.15,64.44,2.19
247,agadez,1,US,1587837811,64,60.55,-151.26,39.2,10.29
248,cabra,75,PW,1587837812,94,7.04,134.26,77,20.2
249,basco,36,VE,1587837813,26,8.89,-64.17,95.77,11.74
250,luganville,20,PT,1587837815,52,38.52,-28.7,66.2,17.22
251,bur gabo,28,IN,1587837816,29,25.55,79.82,85.64,1.1
252,chester,40,BR,1587837709,74,-20.33,-40.29,79,11.41
253,te anau,98,RU,1587837819,92,69.38,178.42,22.51,9.08
254,am timan,40,BR,1587837820,79,-5.13,-49.33,86,9.17
255,owatonna,5,US,1587837821,28,31.65,-106.3,73,14.99
256,yeppoon,37,RU,1587837822,41,53.28,92.4,58.82,7.61
257,whyalla,40,PA,1587837824,59,9.52,-79.03,91.99,8.05
258,sisimiut,15,AU,1587837825,100,-31.43,152.92,59,3.36
259,shimoda,0,NA,1587837826,72,-28.55,16.43,65.28,4.43
260,itarema,20,ID,1587837600,94,-8.65,115.22,82.4,8.05
261,ahipara,75,BR,1587837828,88,-5.2,-35.46,77,4.7
262,vuktyl,79,PT,1587837830,60,41.34,-6.71,60.19,10.96
263,santiago de chuco,11,CO,1587837831,45,3.87,-67.92,94.26,1.59
264,port hardy,40,IT,1587837832,46,46.62,10.7,53.6,2.24
265,ilulissat,95,AU,1587837833,100,-37.83,140.77,59,11.41
266,jalu,28,LV,1587837835,55,57.54,25.43,39,3
267,kantilo,91,CN,1587837836,84,19.91,109.69,71.11,8.46
268,korla,75,CA,1587837837,78,70.47,-68.59,17.6,10.29
269,kenai,23,ZA,1587837838,87,-34,24.73,59.23,11.25
270,kloulklubed,85,RU,1587837840,75,55.64,38.08,45,4.47
271,san jose de guanipa,100,ID,1587837841,94,-0.58,117.09,75.49,0.96
272,ribeira grande,39,RU,1587837842,92,59.46,40.12,29.73,4.14
273,kharela,90,CA,1587837843,77,69.45,-133.04,-2.2,5.82
274,vila velha,0,AU,1587837845,77,-15.77,128.73,69.8,6.2
275,wahran,75,US,1587837733,62,42.04,-70.67,66,8.05
276,leningradskiy,74,LY,1587837847,21,29.16,16.14,82.33,13.69
277,itupiranga,72,MX,1587837848,7,20.33,-104.5,96.57,2.51
